Well	Strain	Hour	OD600_fit
C7	s245s	14	0.666186075328218
C7	s245s	15	0.718382689386809
C7	s245s	16	0.755896628653026
C7	s245s	17	0.781754371517687
C7	s245s	18	0.799068298717644
C7	s245s	19	0.810437455478567
C7	s245s	20	0.817807650916168
C8	s245s	1	0.00921188697063447
C8	s245s	2	0.0145293438168792
C8	s245s	3	0.0228314626362383
C8	s245s	4	0.035671401386537
C8	s245s	5	0.0552416049018589
C8	s245s	6	0.0844157861623623
C8	s245s	7	0.126500513072301
C8	s245s	8	0.18441688781333
C8	s245s	9	0.259161381837521
C8	s245s	10	0.34801532981439
C8	s245s	11	0.443883737287743
C8	s245s	12	0.537084533198999
C8	s245s	13	0.618951096785801
C8	s245s	14	0.684695908275824
C8	s245s	15	0.733795760226809
C8	s245s	16	0.768512021844543
C8	s245s	17	0.792119427130392
C8	s245s	18	0.807749981594004
C8	s245s	19	0.817916980592526
C8	s245s	20	0.824454035138311
C9	s245s	1	0.00727180704122369
C9	s245s	2	0.0115759980026435
C9	s245s	3	0.0183709939631679
C9	s245s	4	0.0290132809719387
C9	s245s	5	0.0454754277159364
C9	s245s	6	0.0704571218571845
C9	s245s	7	0.10728690670684
C9	s245s	8	0.159332865514923
C9	s245s	9	0.22864502032131
C9	s245s	10	0.314003288121622
C9	s245s	11	0.409544948099591
C9	s245s	12	0.50569639062758
C9	s245s	13	0.592643493440304
C9	s245s	14	0.663982905062153
C9	s245s	15	0.717991471733492
C9	s245s	16	0.756440735229343
C9	s245s	17	0.782630579495697
C9	s245s	18	0.799937566352951
C9	s245s	19	0.811146683586145
C9	s245s	20	0.818312103681475
C10	s245s	1	0.00732107246469277
C10	s245s	2	0.0117800804434983
C10	s245s	3	0.0188925427419339
C10	s245s	4	0.0301411006470729
C10	s245s	5	0.0476931903408293
C10	s245s	6	0.0745141674778614
C10	s245s	7	0.114216088946193
C10	s245s	8	0.170302897668719
C10	s245s	9	0.244522418880457
C10	s245s	10	0.334677056376626
C10	s245s	11	0.433460728024927
C10	s245s	12	0.530189688547481
C10	s245s	13	0.615022483849062
C10	s245s	14	0.682524503697955
C10	s245s	15	0.73219746066859
C10	s245s	16	0.766686874574667
C10	s245s	17	0.789678731985509
C10	s245s	18	0.804592872486341
C10	s245s	19	0.814096506420679
C10	s245s	20	0.8200839002375
C11	s245s	1	0.00746412706550278
C11	s245s	2	0.0123365639456548
C11	s245s	3	0.0203121636703403
C11	s245s	4	0.0332372856138671
C11	s245s	5	0.0538476124147785
C11	s245s	6	0.0858802374667599
C11	s245s	7	0.133732590927066
C11	s245s	8	0.201149535075383
C11	s245s	9	0.288688455407021
C11	s245s	10	0.391055611986478
C11	s245s	11	0.49707742539874
C11	s245s	12	0.593935532664177
C11	s245s	13	0.672791054665929
C11	s245s	14	0.731183863438197
C11	s245s	15	0.771458505917215
C11	s245s	16	0.797894178012153
C11	s245s	17	0.814686401922569
C11	s245s	18	0.825131829576081
C11	s245s	19	0.831544831810913
C11	s245s	20	0.835450530668543
C12	s245s	1	0.00583123644177444
C12	s245s	2	0.0101207896343393
C12	s245s	3	0.0174998973056767
C12	s245s	4	0.0300650773448839
C12	s245s	5	0.0510942498682467
C12	s245s	6	0.0852903652337126
C12	s245s	7	0.138377079749913
C12	s245s	8	0.215132440930143
C12	s245s	9	0.315421241100819
C12	s245s	10	0.430442680743789
C12	s245s	11	0.544194698924898
C12	s245s	12	0.641347184599135
C12	s245s	13	0.714460180399568
C12	s245s	14	0.764411324519059
C12	s245s	15	0.796324837541135
C12	s245s	16	0.815849083597916
C12	s245s	17	0.827478493179247
C12	s245s	18	0.834295356772369
C12	s245s	19	0.838253762818428
C12	s245s	20	0.840539760140718
D1	s272	1	0.00933329305997564
D1	s272	2	0.0156255609242277
D1	s272	3	0.0260259797043307
D1	s272	4	0.0429851819861878
D1	s272	5	0.0700370864341586
D1	s272	6	0.111708270860261
D1	s272	7	0.172570048946903
D1	s272	8	0.254883964416452
D1	s272	9	0.355355267807129
D1	s272	10	0.463700084175803
D1	s272	11	0.565987917779722
D1	s272	12	0.651125869265492
D1	s272	13	0.714865865982222
D1	s272	14	0.758901466027312
D1	s272	15	0.787661570228532
D1	s272	16	0.805761761199483
D1	s272	17	0.816888755313716
D1	s272	18	0.823630543266983
D1	s272	19	0.827679525050711
D1	s272	20	0.830098405471905
D2	s272	1	0.00965129973141631
D2	s272	2	0.0159350008645974
D2	s272	3	0.0261829068337981
D2	s272	4	0.0426854240542559
D2	s272	5	0.0687250703914196
D2	s272	6	0.108523628961315
D2	s272	7	0.166480120100416
D2	s272	8	0.24520036658898
D2	s272	9	0.342581719401627
D2	s272	10	0.450024877306483
D2	s272	11	0.554586236727771
D2	s272	12	0.644624970115995
D2	s272	13	0.714344695465167
D2	s272	14	0.764020035035505
D2	s272	15	0.797352780610899
D2	s272	16	0.818828455494871
D2	s272	17	0.83230461567861
D2	s272	18	0.840621512075776
D2	s272	19	0.84570174669836
D2	s272	20	0.848785422667688
D3	s272	1	0.00807817262107957
D3	s272	2	0.0131497431734185
D3	s272	3	0.0213245510183665
D3	s272	4	0.0343723773763487
D3	s272	5	0.0548743746412205
D3	s272	6	0.0863093086140501
D3	s272	7	0.13274130653469
D3	s272	8	0.197677157446755
D3	s272	9	0.281875652003558
D3	s272	10	0.380957063369076
D3	s272	11	0.485070810317666
D3	s272	12	0.582232968947196
D3	s272	13	0.663369370714269
D3	s272	14	0.725066522936919
D3	s272	15	0.768722915465026
D3	s272	16	0.798063990509744
D3	s272	17	0.817107801684162
D3	s272	18	0.829189790015851
D3	s272	19	0.836744542815537
D3	s272	20	0.841425669388194
D4	s272	1	0.00893843062969135
D4	s272	2	0.014486309282507
D4	s272	3	0.0233816485219809
D4	s272	4	0.03749341959292
D4	s272	5	0.0595074404422037
D4	s272	6	0.092963946139155
D4	s272	7	0.141845770836166
D4	s272	8	0.209303348802093
D4	s272	9	0.295416871355297
D4	s272	10	0.395039319646611
D4	s272	11	0.497970585772752
D4	s272	12	0.592616647068291
D4	s272	13	0.670759119679494
D4	s272	14	0.729738805066787
D4	s272	15	0.771309395745222
D4	s272	16	0.79921584276602
D4	s272	17	0.817341816733528
D4	s272	18	0.828864201103354
D4	s272	19	0.836088783442461
D4	s272	20	0.840579647835257
D5	s245	1	7.10264015479037e-05
D5	s245	2	0.000128481738162967
D5	s245	3	0.00023239916824376
D5	s245	4	0.000420316393463169
D5	s245	5	0.000760020215497973
D5	s245	6	0.00137374457679106
D5	s245	7	0.00248132438413594
D5	s245	8	0.00447624944459408
D5	s245	9	0.00805678639115446
