Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
E3	s247s	0.85236366177319	0.00860893419825168	1.81251827803825e-47	0.00407029221931273	0.000745527311481075	3.13593010604845e-06	0.519808498689201	0.0187463270701959	8.04870134620881e-27	0.0221275179070221	38	10.2720747137774	1.3334664252467	8.29428785338958	8.18319989740848	""
E4	s247s	0.849787290963141	0.00858852898444617	1.85796369267793e-47	0.0044862214812194	0.000789663070116821	1.55859243432318e-06	0.509661500267958	0.0180592979017007	4.24635182229515e-27	0.0217199584607786	38	10.2787478549213	1.36001479451659	8.26388656993972	8.15169998072088	""
E5	s247s	0.846650915641789	0.00872843747503132	3.93978675857481e-47	0.00505204223025725	0.000860901556169004	8.62978123747651e-07	0.496964820154028	0.0175327521712186	3.62414164812905e-27	0.0215895781477381	38	10.2935071705883	1.3947610624533	8.22145108091974	8.11199991963803	""
E6	s247s	0.85231162775009	0.00874387841869943	3.27328559147496e-47	0.00549585647626796	0.000926550801598776	7.06760822717132e-07	0.495574339522579	0.0175617623713776	4.26066726602373e-27	0.02194261489109	38	10.1649506875863	1.39867447783455	8.38449548177898	8.2734749559313	""
E7	s247s	0.851646586598895	0.00829042764506609	4.4897973552006e-48	0.00460103215218894	0.000754754817410331	4.20305664718418e-07	0.501656032411859	0.0166933559070069	4.31217445866842e-28	0.0203846036560196	38	10.3965137071808	1.3817180214647	8.18325157856917	8.07600010931492	""
E8	s247s	0.840935056319635	0.00870712331260678	4.64125751169496e-47	0.00505473944172619	0.000819528894021888	3.35068838097057e-07	0.484631625328082	0.0163868770640512	7.72896660309802e-28	0.0203925225631537	38	10.5402926011447	1.43025577435378	7.96216314061427	7.85312490724026	""
E9	s247s	0.838456733143616	0.00760227208335706	3.04487886048219e-49	0.00440969824900888	0.000676243722209429	1.10189982598595e-07	0.502577230990427	0.0155521921553086	3.01921571146826e-29	0.0186342592659646	38	10.4311998463134	1.37918540239868	8.02777836882456	7.92704998143017	""
E10	s247s	0.844377631385562	0.00737656607508707	7.4446899233857e-50	0.00390666284766012	0.00058969087247996	7.94676931365176e-08	0.507961287138745	0.0150866707387684	6.68036676116758e-30	0.0178914131392147	38	10.5741894699973	1.36456694261942	7.96502359901194	7.86882505565882	""
E11	s247s	0.860663561955333	0.00811455251171367	1.33762171314549e-48	0.00288521199108997	0.000488403857578986	7.62655246540754e-07	0.518597192483523	0.0162783822875343	5.09369942971805e-29	0.0189134346607528	38	10.9810609034727	1.33658105097044	7.77207068187206	7.67170008644462	""
E12	empty	0.000700004398823007	0.000135059556619047	7.48759240052905e-06	0.003899998962879	0.000351170744847797	1.71073803116256e-13	0.13081537269397	0.0515689913678924	0.0154186890185019	0.000390592126503148	38	-1.51226245097482	5.29866762816551	0.0228605015102746	0.0195250138640406	questionable fit (k < n0)
F1	s247s	0.861066105762444	0.011158701141747	2.24818235216184e-43	0.00444227099861659	0.0011713441471813	0.000520010592008793	0.553227386031813	0.0288027135525121	3.6680982967125e-21	0.032728099262051	38	9.51115814336039	1.25291552454001	9.02822804648998	8.89495000429451	""
F2	s247s	0.859880619211389	0.00755781379154609	9.37349099063206e-50	0.00395417211751835	0.000737481053753703	4.268570157461e-06	0.565296251240164	0.0203178390810738	7.11822638039592e-27	0.0224670644503336	38	9.51255767322925	1.22616624299082	9.01498189994607	8.90855000168085	""
F3	s247s	0.844318468856331	0.00761264151856267	2.46246517023813e-49	0.00256107712864181	0.000448279150291855	1.40901477626631e-06	0.537913882699164	0.0170428127244196	7.16761812016166e-29	0.0188181807885164	38	10.7732187296039	1.28858392180147	7.79650758583767	7.70000006258488	""
F4	s247s	0.849019438187633	0.00691769452490578	5.30238779474374e-51	0.00327894406053967	0.00051750767060656	1.97153963532139e-07	0.536923167713593	0.0159754930444682	7.13635890579821e-30	0.0180625619053691	38	10.3416866026901	1.29096157931052	8.20280057839345	8.10792490653693	""
F5	s247s	0.836106282653051	0.00714933358391603	3.30303064315862e-50	0.0030402586128067	0.000440836140921523	3.39534086751341e-08	0.505267889597252	0.0138528256477197	3.49240981746868e-31	0.0159887661183311	38	11.1092955506248	1.37184094780385	7.44596991555972	7.35615001060068	""
F6	s247s	0.848708062406298	0.00732846496462486	4.78624895376183e-50	0.00401780986641683	0.000653917843598465	3.61034696068873e-07	0.529989803372254	0.0168929909175636	8.93305070736856e-29	0.0195454201805312	38	10.0911998990637	1.3078500306035	8.41044778867878	8.30934999324381	""
